id,words,syllables,syllables_per_word,word_letter_count,characters,characters_spaces,alphanumeric,alpha,articles,sentences,sentence_len_stdev,min_words_per_sentence,max_words_per_sentence,avg_words_per_sentence,words_per_sentence_stdev,syllables_per_sentence,letters_per_sentence,paragraphs,word_per_paragraph,pages_paperback,pages_a4,to_be_verbs,contractions,pauses,words_between_pauses,pauses_per_sentence,syllables_between_pauses,questions,question_sentence_ratio,unique_words,pronouns,first_person_pronouns,second_person_pronouns,third_person_pronouns,prepositions,cliches,similes
73,46087,67786,1.47,4.38,210973,260570,201845,201776,4374,3614,45.12,1,88,12.75,0.1,18.76,55.83,997,46.23,115.22,65.84,1658,509,3381,13.63,0.94,20.04,158,0.0437,6463,5555,7,2,89,8664,9,16
74,70801,100102,1.41,4.25,320403,393435,301124,301110,5628,4940,80.12,1,393,14.33,0.7,20.26,60.95,2101,33.7,177,101.14,2518,1902,5883,12.03,1.19,17.01,458,0.0927,8477,8103,15,10,73,11716,13,62
76,111163,144078,1.3,3.84,457340,574643,427320,427306,7799,6151,94.62,1,312,18.07,0.1,23.42,69.47,2455,45.28,277.91,158.8,3539,4018,10074,11.03,1.64,14.3,736,0.1197,7704,15680,38,10,51,18470,24,145
77,104875,163940,1.56,4.61,506697,615937,483873,483850,9719,4720,101.79,1,331,22.22,1.03,34.73,102.51,979,107.12,262.19,149.82,3494,866,13722,7.64,2.91,11.95,344,0.0729,11373,10681,16,7,75,20619,11,76
78,85521,126284,1.48,4.41,390594,480952,376806,376783,8138,4340,79.78,1,313,19.71,0.76,29.1,86.82,2708,31.58,213.8,122.17,2621,624,7112,12.02,1.64,17.75,269,0.062,7872,10292,12,7,80,15495,16,59
81,89192,131216,1.47,4.35,402413,496706,387942,387870,8498,4903,73.78,1,238,18.19,0.9,26.76,79.11,1769,50.42,222.98,127.42,3100,482,7007,12.73,1.43,18.72,271,0.0553,7887,11879,16,9,74,16479,15,44
82,191456,290988,1.52,4.52,910012,1107644,865882,865560,17643,7402,108.05,1,263,25.87,0.02,39.31,116.94,3120,61.36,478.64,273.51,5784,835,21612,8.86,2.92,13.46,745,0.1006,15832,19672,28,6,64,35045,22,164
83,91588,146802,1.6,4.7,450534,547921,430236,428570,9813,5766,75.86,1,159,15.88,0.28,25.46,74.33,2373,38.6,228.97,130.84,3322,300,12070,7.59,2.09,12.16,576,0.0999,8485,7129,24,6,68,16878,10,60
84,75056,115658,1.54,4.43,343314,421148,332627,332490,5845,3358,79.53,1,175,22.35,0.28,34.44,99.01,826,90.87,187.64,107.22,2555,0,6013,12.48,1.79,19.23,220,0.0655,7155,10958,59,8,32,13204,5,37
85,63516,93558,1.47,4.38,286727,353260,278454,278388,6940,2736,87.84,1,246,23.21,0.08,34.2,101.75,1504,42.23,158.79,90.74,1771,443,3971,15.99,1.45,23.55,124,0.0453,6333,7411,7,7,85,12374,13,36
86,117810,167553,1.42,4.19,518153,643515,494028,493734,9566,6148,106.39,1,473,19.16,0.31,27.25,80.31,2102,56.05,294.52,168.3,4996,1202,10422,11.3,1.7,16.08,505,0.0821,11513,14609,37,7,55,20715,36,129
90,94521,138741,1.47,4.36,425616,525343,411700,411655,9404,5615,72.32,1,133,16.83,0.03,24.71,73.31,1420,66.56,236.3,135.03,2939,655,5877,16.08,1.05,23.6,292,0.052,8139,13138,8,5,86,17179,19,32
92,65978,99282,1.5,4.47,303754,372814,294814,294736,7416,3123,87.05,1,309,21.13,0.04,31.79,94.38,1177,56.06,164.94,94.25,1545,298,4483,14.71,1.44,22.14,156,0.05,6702,7554,7,4,88,12611,15,28
95,53715,74336,1.38,4.07,232727,288416,218373,218296,4321,3913,68.31,1,313,13.73,1.02,19,55.79,1743,30.82,134.29,76.74,1642,0,5375,9.99,1.37,13.83,418,0.1068,5577,8025,50,7,42,8874,20,35
98,135842,198453,1.46,4.3,617343,757247,584615,584597,11119,7817,92.95,1,676,17.38,0.02,25.39,74.79,3328,40.82,339.61,194.06,5039,909,14683,9.25,1.88,13.51,913,0.1168,10980,16539,20,10,68,24202,14,76
100,957417,1347091,1.41,4.21,4295372,5628263,4027246,4025476,48684,101572,72.26,1,1114,9.43,0.05,13.26,39.63,20096,47.64,2393.54,1367.74,29904,16507,121398,7.89,1.2,11.1,11032,0.1086,34606,139669,45,18,36,127851,49,577
101,102167,172514,1.69,5,533848,643827,510385,506616,8522,6673,110.18,1,3737,15.31,0.11,25.85,75.92,1788,57.14,255.42,145.95,4019,1273,10981,9.3,1.65,15.71,146,0.0219,12579,5706,14,10,74,17446,42,45
102,53141,76485,1.44,4.26,239753,294737,226623,226312,3803,2940,93.92,1,203,18.08,0.04,26.02,76.98,1124,47.28,132.85,75.92,1997,1362,5819,9.13,1.98,13.14,254,0.0864,7271,6666,17,10,71,8725,8,42
103,63286,97130,1.53,4.56,303411,370820,288811,288549,6092,3682,97.87,1,1026,17.19,0.28,26.38,78.37,1721,36.77,158.22,90.41,2449,389,8805,7.19,2.39,11.03,366,0.0994,7163,5658,13,8,78,11484,12,69
105,83286,123859,1.49,4.38,380046,466879,365013,364912,5176,3666,117.81,1,215,22.72,0.08,33.79,99.54,1036,80.39,208.22,118.98,4088,496,9904,8.41,2.7,12.5,217,0.0592,6107,11414,19,8,72,14787,6,97
106,74119,109926,1.48,4.42,338288,416167,327542,327512,7731,3563,82.23,1,208,20.8,0.67,30.85,91.92,1060,69.92,185.3,105.88,2065,329,5412,13.69,1.52,20.31,132,0.037,6884,8155,3,2,94,13902,14,50
107,137066,202304,1.48,4.37,632990,778995,599636,599578,11948,8426,78.01,1,187,16.27,0.02,24.01,71.16,3541,38.71,342.67,195.81,5559,2016,16811,8.15,2,12.03,754,0.0895,13274,16106,23,12,64,25550,26,110
