id,title,author,author_birth_year,author_death_year,downloads
21020,The Little Clay Cart: Mrcchakatika,Sudraka,0,0,256
14417,The Agamemnon of Aeschylus: Translated into English Rhyming Verse with Explanatory Notes,Aeschylus,-525,-456,255
8677,Behind a Mask,"Alcott, Louisa May",1832,1888,255
955,The Patchwork Girl of Oz,"Baum, L. Frank (Lyman Frank)",1856,1919,255
16341,Poems by William Cullen Bryant,"Bryant, William Cullen",1794,1878,255
8861,"The Works of Lord Byron, Vol. 1. Poetry","Byron, George Gordon Byron, Baron",1788,1824,255
39250,Myths of Greece and Rome,"Guerber, H. A. (Helene Adeline)",1859,1929,255
7514,A Guide to Stoicism,"Stock, St. George William Joseph",1850,0,255
16927,"Tacitus: The Histories, Volumes I and II","Tacitus, Cornelius",56,117,255
42401,Vathek; An Arabian Tale,"Beckford, William",1760,1844,254
7829,American Prisoners of the Revolution,"Dandridge, Danske",1858,1914,254
14814,The Tale of Jemima Puddle-Duck,"Potter, Beatrix",1866,1943,254
101,The Hacker Crackdown: Law and Disorder on the Electronic Frontier,"Sterling, Bruce",1954,0,254
773,"Lord Arthur Savile's Crime; The Portrait of Mr. W.H., and Other Stories","Wilde, Oscar",1854,1900,254
4116,Christopher Columbus and the New World of His Discovery - Complete,"Young, Filson",1876,1938,254
37494,The Gospel According To Peter: A Study,"Cassels, Walter Richard",1826,1907,253
30323,The Book of Religions,"Hayward, John",1781,1869,253
2802,Ramona,"Jackson, Helen Hunt",1830,1885,253
1640,Lilith: A Romance,"MacDonald, George",1824,1905,253
30508,The Instruction of Ptah-Hotep and the Instruction of Ke'Gemni: The Oldest Books in the World,Ptahhotep,0,0,253
37090,Our Knowledge of the External World as a Field for Scientific Method in Philosophy,"Russell, Bertrand",1872,1970,253
1947,Scaramouche: A Romance of the French Revolution,"Sabatini, Rafael",1875,1950,253
10001,Apocolocyntosis,"Seneca, Lucius Annaeus",0,65,253
485,The Road to Oz,"Baum, L. Frank (Lyman Frank)",1856,1919,252
90,The Son of Tarzan,"Burroughs, Edgar Rice",1875,1950,252
23772,Devotions Upon Emergent Occasions; Together with Death's Duel,"Donne, John",1572,1631,252
3725,Famous Men of the Middle Ages,"Haaren, John H. (John Henry)",1855,1916,252
22420,The Book of Nature Myths,"Holbrook, Florence",1860,1932,252
37841,"Human, All-Too-Human: A Book for Free Spirits, Part 2","Nietzsche, Friedrich Wilhelm",1844,1900,252
2400,"Vikram and the Vampire: Classic Hindu Tales of Adventure, Magic, and Romance","Burton, Richard Francis, Sir",1821,1890,251
42686,"A History of Epidemics in Britain, Volume 1 (of 2): From A.D. 664 to the Extinction of Plague","Creighton, Charles",1847,1927,251
54401,A Woman In China,"Gaunt, Mary",1861,1942,251
10616,"An Essay Concerning Humane Understanding, Volume 2","Locke, John",1632,1704,251
19,The Song of Hiawatha,"Longfellow, Henry Wadsworth",1807,1882,251
